book_date,open,high,low,close,volume,dividends,ticker,average_price,daily_return_percentage,growth,cumulative_growth,volatility_30days,dividend_yield_percentage,52week_high,52week_low,ma50d,ma200d,vwap
2023-01-06,54.0938,54.8886,54.0046,54.4912,3859300,0.0,BNS.TO,54.3696,1.0073,1.0101,0.3155,1.1228,0.0751,69.3847,49.6022,53.1135,57.4468,49.4654
2023-01-09,54.7345,54.9291,54.3776,54.5723,3846700,0.0,BNS.TO,54.6534,0.1488,1.0015,0.3175,1.0735,0.0749,69.3847,49.6022,53.1778,57.381,49.4714
2023-01-10,54.6453,54.9048,54.5155,54.8318,3937400,0.0,BNS.TO,54.7244,0.4755,1.0048,0.3238,1.0717,0.0746,69.3847,49.6022,53.2465,57.3132,49.4776
2023-01-11,55.0508,55.3914,54.6939,54.9372,5032700,0.0,BNS.TO,55.0183,0.1922,1.0019,0.3263,1.062,0.0744,69.3847,49.6022,53.3119,57.2561,49.486
2023-01-12,55.2373,55.7482,55.0913,55.6022,5310200,0.0,BNS.TO,55.4198,1.2105,1.0121,0.3424,1.0863,0.0736,69.3847,49.6022,53.3835,57.2014,49.4954
2023-01-13,55.2941,56.1618,55.0913,56.1132,4132700,0.0,BNS.TO,55.6651,0.919,1.0092,0.3547,1.0907,0.0729,69.3847,49.6022,53.4702,57.1464,49.503
2023-01-16,56.1294,56.543,56.0645,56.4295,10165000,0.0,BNS.TO,56.2916,0.5637,1.0056,0.3623,1.0755,0.0725,69.3847,49.6022,53.561,57.0929,49.5235
2023-01-17,56.4457,56.6565,56.1132,56.4862,6747700,0.0,BNS.TO,56.4254,0.1005,1.001,0.3637,1.0503,0.0724,69.3847,49.6022,53.6598,57.039,49.5373
2023-01-18,56.6079,57.0296,56.0645,56.1375,8581400,0.0,BNS.TO,56.4599,-0.6173,0.9938,0.3552,0.9934,0.0729,69.3847,49.6022,53.763,56.9861,49.5549
2023-01-19,55.7969,55.9591,55.513,55.9266,3859700,0.0,BNS.TO,55.7989,-0.3757,0.9962,0.3501,0.9026,0.0731,69.3847,49.6022,53.8461,56.9388,49.562
2023-01-20,55.9672,56.1132,55.6428,56.1132,5243400,0.0,BNS.TO,55.9591,0.3337,1.0033,0.3545,0.8856,0.0729,69.3847,49.6022,53.9271,56.8943,49.5719
2023-01-23,56.1456,56.5917,55.805,56.4538,5319000,0.0,BNS.TO,56.249,0.607,1.0061,0.3628,0.8121,0.0724,69.3847,49.6022,54.0108,56.8457,49.5824
2023-01-24,56.3646,56.4619,56.0645,56.2997,3408200,0.0,BNS.TO,56.2977,-0.273,0.9973,0.3591,0.8098,0.0726,69.3847,49.6022,54.0987,56.7938,49.5891
2023-01-25,56.1213,57.1107,56.0726,56.8593,4524600,0.0,BNS.TO,56.541,0.994,1.0099,0.3726,0.8134,0.0719,69.3847,49.6022,54.151,56.7492,49.5984
2023-01-26,56.9079,57.7433,56.8836,57.7433,4463800,0.0,BNS.TO,57.3195,1.5547,1.0155,0.3938,0.8389,0.0708,69.3847,49.6022,54.2261,56.7109,49.6085
2023-01-27,57.7919,57.9379,57.2891,57.5568,4858200,0.0,BNS.TO,57.6439,-0.323,0.9968,0.3894,0.8534,0.0711,69.3847,49.6022,54.3007,56.6713,49.62
2023-01-30,57.3135,57.6622,57.3135,57.6216,4166500,0.0,BNS.TO,57.4777,0.1126,1.0011,0.3909,0.7495,0.071,69.3847,49.6022,54.36,56.6344,49.6295
2023-01-31,57.7838,58.4245,57.573,58.4164,3378200,0.0,BNS.TO,58.0494,1.3793,1.0138,0.4101,0.7187,0.07,69.3847,49.6022,54.4464,56.6059,49.6379
2023-02-01,58.4407,58.9273,58.1974,58.6759,3121300,0.0,BNS.TO,58.5603,0.4442,1.0044,0.4163,0.6876,0.0697,69.3847,49.6022,54.5378,56.5806,49.646
2023-02-02,58.8462,59.6248,58.5543,59.5194,3513100,0.0,BNS.TO,59.1362,1.4376,1.0144,0.4367,0.6819,0.0687,69.3847,49.6022,54.6422,56.5598,49.6558
2023-02-03,59.6086,59.7708,59.1625,59.495,3120600,0.0,BNS.TO,59.5092,-0.041,0.9996,0.4361,0.6238,0.0687,69.3847,49.6022,54.7284,56.5408,49.6647
2023-02-06,59.3328,59.3653,58.8219,59.0571,2731700,0.0,BNS.TO,59.1443,-0.736,0.9926,0.4255,0.6715,0.0693,69.3847,49.6022,54.8011,56.5152,49.6723
2023-02-07,58.8462,60.0141,58.6354,59.8113,3266900,0.0,BNS.TO,59.3268,1.2771,1.0128,0.4437,0.6852,0.0684,69.3847,49.6022,54.8825,56.4923,49.6815
2023-02-08,59.6572,60.1601,59.2436,59.3815,2443100,0.0,BNS.TO,59.6106,-0.7186,0.9928,0.4333,0.7257,0.0689,69.3847,49.6022,54.9536,56.4661,49.6885
2023-02-09,59.6086,59.86,59.0814,59.3004,2325100,0.0,BNS.TO,59.4626,-0.1366,0.9986,0.4313,0.7338,0.069,69.3847,49.6022,55.018,56.4446,49.6951
2023-02-10,59.0409,59.714,58.9598,59.6653,1713900,0.0,BNS.TO,59.345,0.6153,1.0062,0.4402,0.7348,0.0685,69.3847,49.6022,55.088,56.4253,49.6999
2023-02-13,59.6816,60.2817,59.6491,60.1438,2537300,0.0,BNS.TO,59.9391,0.802,1.008,0.4517,0.7177,0.068,68.8953,49.6022,55.195,56.4139,49.7075
2023-02-14,60.1601,60.3466,59.6978,59.9735,2075900,0.0,BNS.TO,60.0445,-0.2832,0.9972,0.4477,0.7189,0.0682,68.8953,49.6022,55.2907,56.4072,49.7137
2023-02-15,59.7789,60.1682,59.5599,59.7221,2258400,0.0,BNS.TO,59.8073,-0.4192,0.9958,0.4416,0.7325,0.0685,68.8953,49.6022,55.3819,56.3987,49.7203
2023-02-16,59.5437,59.8762,59.2193,59.5842,2408300,0.0,BNS.TO,59.5559,-0.2309,0.9977,0.4383,0.7393,0.0686,68.8953,49.6022,55.4891,56.3924,49.7272
2023-02-17,59.4302,59.4464,59.0571,59.1625,2703500,0.0,BNS.TO,59.274,-0.7077,0.9929,0.4281,0.7446,0.0691,68.8953,49.6022,55.6033,56.3829,49.7347
2023-02-21,58.9355,58.9517,58.0677,58.2461,2858100,0.0,BNS.TO,58.5503,-1.549,0.9845,0.4059,0.8282,0.0702,68.8953,49.6022,55.6935,56.3646,49.742
2023-02-22,58.092,58.1731,57.646,58.0433,2441300,0.0,BNS.TO,57.9886,-0.3482,0.9965,0.401,0.8352,0.0705,68.8953,49.6022,55.7855,56.3431,49.7478
2023-02-23,58.1731,58.2299,57.7027,57.8325,2375000,0.0,BNS.TO,57.9846,-0.3632,0.9964,0.396,0.836,0.0707,68.8953,49.6022,55.8707,56.3239,49.7535
2023-02-24,57.5973,57.8893,57.1837,57.8568,2904700,0.0,BNS.TO,57.6318,0.042,1.0004,0.3965,0.8317,0.0707,68.8953,49.6022,55.9483,56.3063,49.7601
2023-02-27,57.9866,58.311,57.9136,58.0109,1781600,0.0,BNS.TO,58.0555,0.2663,1.0027,0.4003,0.8098,0.0705,68.8953,49.6022,56.0362,56.292,49.7643
